Accident_ID,Incident_Date,Incident_Category,Aircaft_Nature,Fatalities,International,Departure_Code,Destination_Code
6092,1984-10-11,Accident,Passenger,178,0,RUS,RUS
6093,1984-10-11,Accident,Other,4,0,CAN,CAN
6094,1984-10-13,Accident,Other,7,0,USA,USA
6095,1984-10-15,"Criminal occurrence (sabotage, shoot down)",Military,1,0,AFG,AFG
6096,1984-10-23,Accident,Other,1,1,PRT,CAN
6097,1984-10-26,Accident,Other,0,0,USA,USA
6098,1984-10-27,"Criminal occurrence (sabotage, shoot down)",Military,11,1,UZB,AFG
6099,1984-10-31,Accident,Cargo,4,0,PHL,PHL
6100,1984-11-05,Hijacking,Passenger,0,0,SAU,SAU
6101,1984-11-10,Accident,Other,2,1,USA,VIR
6102,1984-11-19,Accident,Cargo,1,0,GBR,GBR
6103,1984-11-20,Accident,Passenger,14,0,ECU,ECU
6104,1984-11-23,Accident,Military,9,0,FRA,FRA
6105,1984-11-23,Accident,Military,4,0,FRA,FRA
6106,1984-11-24,Hijacking,Passenger,0,1,SOM,SAU
6107,1984-11-25,Accident,Other,0,0,AUS,AUS
6108,1984-11-29,Hijacking,Passenger,0,0,USA,USA
6109,1984-12-01,"other occurrence (ground fire, sabotage)",Other,0,0,USA,USA
6110,1984-12-04,Accident,Passenger,17,0,RUS,RUS
6111,1984-12-04,Hijacking,Passenger,2,1,ARE,PAK
6112,1984-12-06,Accident,Passenger,13,0,USA,USA
6113,1984-12-16,Accident,Passenger,0,0,USA,USA
6114,1984-12-19,Accident,Other,0,0,USA,USA
6115,1984-12-20,Accident,Other,3,0,TZA,TZA
6116,1984-12-20,Accident,Other,1,0,USA,USA
6117,1984-12-22,Accident,Passenger,15,0,NPL,NPL
6118,1984-12-23,Accident,Passenger,110,0,RUS,RUS
6119,1984-12-30,Accident,Passenger,0,0,IDN,IDN
6120,1984-12-31,Hijacking,Passenger,0,1,VIR,USA
6121,1983-01-03,Accident,Other,2,0,USA,USA
6122,1983-01-07,Hijacking,Passenger,0,0,USA,USA
6123,1983-01-09,Accident,Passenger,1,0,USA,USA
6124,1983-01-11,Accident,Other,0,0,USA,USA
6125,1983-01-11,Accident,Cargo,3,0,USA,USA
6126,1983-01-11,Accident,Other,5,1,USA,CAN
6127,1983-01-16,Accident,Passenger,47,0,TUR,TUR
6128,1983-01-16,Accident,Other,2,1,LBY,DZA
6129,1983-01-18,Hijacking,Passenger,0,0,THA,THA
6130,1983-01-20,Hijacking,Passenger,1,0,USA,USA
6131,1983-01-20,Hijacking,Passenger,0,1,YEM,KWT
6132,1983-01-28,Accident,Passenger,0,0,IND,IND
6133,1983-02-06,Accident,Other,0,0,USA,USA
6134,1983-02-13,Accident,Other,6,1,MYS,LKA
6135,1983-02-13,Hijacking,Passenger,0,0,AUS,AUS
6136,1983-02-15,Hijacking,Passenger,0,0,USA,USA
6137,1983-02-15,Accident,Passenger,0,0,USA,USA
6138,1983-02-18,Hijacking,Passenger,1,1,SVK,CZE
6139,1983-02-20,Hijacking,Passenger,0,0,LBY,LBY
6140,1983-02-21,Accident,Military,4,0,COL,COL
6141,1983-02-22,Accident,Other,2,0,BRA,BRA
6142,1983-02-27,Accident,Passenger,0,0,AUS,AUS
6143,1983-03-07,Hijacking,Passenger,1,0,BGR,BGR
6144,1983-03-10,Accident,Passenger,19,0,AFG,AFG
6145,1983-03-11,Accident,Passenger,0,0,JPN,JPN
6146,1983-03-11,Accident,Passenger,23,0,VEN,VEN
6147,1983-03-29,Accident,Passenger,6,0,GEO,GEO
6148,1983-03-30,Accident,Cargo,2,0,USA,USA
6149,1983-04-01,Accident,Other,4,0,USA,USA
6150,1983-04-04,Accident,Other,8,1,CHN,HKG
6151,1983-04-07,Accident,Other,2,0,USA,USA
6152,1983-04-12,Accident,Cargo,0,1,LVA,BLR
6153,1983-04-15,Hijacking,Passenger,0,0,TUR,TUR
6154,1983-04-19,Accident,Passenger,21,1,RUS,ARM
6155,1983-04-19,Accident,Military,6,0,JPN,JPN
6156,1983-04-19,Accident,Military,8,0,JPN,JPN
6157,1983-04-20,Accident,Passenger,0,0,GBR,GBR
6158,1983-04-26,Accident,Other,0,0,USA,USA
6159,1983-04-26,Accident,Military,11,0,JPN,JPN
6160,1983-04-29,Accident,Passenger,8,0,ECU,ECU
6161,1983-04-30,Accident,Military,14,1,USA,CUB
6162,1983-05-01,Hijacking,Passenger,0,1,PRI,USA
6163,1983-05-04,Accident,Passenger,0,0,COL,COL
6164,1983-05-05,Hijacking,Passenger,0,0,CHN,CHN
6165,1983-05-05,Accident,Passenger,0,1,USA,BHS
6166,1983-05-06,Accident,Military,33,0,RUS,RUS
6167,1983-05-12,Hijacking,Passenger,0,1,PRI,USA
6168,1983-05-18,Accident,Other,3,1,AUT,DEU
6169,1983-05-19,Hijacking,Passenger,0,0,USA,USA
6170,1983-06-02,Accident,Passenger,3,0,IDN,IDN
6171,1983-06-02,Accident,Passenger,23,1,USA,CAN
6172,1983-06-03,Accident,Passenger,0,1,ANT,PAN
6173,1983-06-08,Accident,Passenger,5,0,BOL,BOL
6174,1983-06-08,Accident,Passenger,0,0,USA,USA
6175,1983-06-09,Accident,Military,9,0,PER,PER
6176,1983-06-11,Accident,Passenger,0,0,USA,USA
6177,1983-06-14,Hijacking,Passenger,0,0,USA,USA
6178,1983-06-17,Accident,Other,0,1,UKR,ARM
6179,1983-06-22,Accident,Cargo,2,1,USA,CAN
6180,1983-06-22,Hijacking,Passenger,0,1,GRC,LBY
6181,1983-06-24,Hijacking,Passenger,0,0,MEX,MEX
6182,1983-06-25,Accident,Passenger,0,0,MNG,MNG
6183,1983-06-29,Accident,Cargo,0,0,USA,USA
6184,1983-06-29,Accident,Other,0,0,USA,USA
6185,1983-07-01,Accident,Passenger,23,1,EGY,GIN
6186,1983-07-02,Accident,Passenger,0,1,ITA,GBR
6187,1983-07-02,Hijacking,Passenger,0,0,USA,USA
6188,1983-07-02,"Criminal occurrence (sabotage, shoot down)",Military,5,0,AFG,AFG
6189,1983-07-05,Hijacking,Passenger,1,1,RUS,EST
6190,1983-07-06,Hijacking,Passenger,0,0,IRN,IRN
6191,1983-07-07,Hijacking,Passenger,0,0,USA,USA
6192,1983-07-10,Accident,Cargo,0,0,USA,USA
6193,1983-07-11,Accident,Passenger,119,0,ECU,ECU
6194,1983-07-15,Accident,Cargo,0,0,USA,USA
